user,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
.,4.2599,3.5718,3.5123,3.7445,2.5353
1Pin,4.2601,3.5748,3.5071,3.7411,2.5291
Biyao,4.2718,3.5755,3.5065,3.7471,2.5270
COCONUTS,4.2559,3.5746,3.5104,3.7403,2.5230
Clover,4.2656,3.5733,3.5098,3.7505,2.5386
Coisini,4.2643,3.5731,3.5053,3.7449,2.5330
DCicadaï¼ˆææ¬£è¯­ï¼‰,4.2715,3.5764,3.5149,3.7492,2.5284
Enid55,4.2557,3.5739,3.5103,3.7417,2.5301
Eve,4.2698,3.5755,3.5053,3.7463,2.5371
Lescourantsdair,4.2481,3.5745,3.5168,3.7463,2.5382
Min Yin,4.2613,3.5726,3.5072,3.7405,2.5392
alwayssmileé«˜å³°,4.2512,3.5694,3.5065,3.7435,2.5293
guji,4.2604,3.5748,3.5126,3.7455,2.5298
lily,4.2573,3.5728,3.5110,3.7444,2.5291
my,4.2641,3.5818,3.5121,3.7411,2.5136
tina,4.2603,3.5733,3.5099,3.7439,2.5432
xiaowen,4.2697,3.5780,3.5092,3.7444,2.5244
yh.På°å•¦,4.2721,3.5851,3.5137,3.7429,2.5120
yy,4.2608,3.5747,3.5108,3.7490,2.5318
ä¸‰æ°´.,4.2624,3.5765,3.5081,3.7438,2.5256
ä½³å‘³å›­ä¸ä¸,4.2630,3.5797,3.5184,3.7480,2.5287
å†¬ç±³,4.2685,3.5724,3.5133,3.7465,2.5258
åˆ˜æµ©å®‡,4.2529,3.5693,3.5089,3.7367,2.5285
åˆºçŒ¬,4.2674,3.5662,3.4993,3.7384,2.5318
å•æ±Ÿé›…,4.2615,3.5671,3.4984,3.7411,2.5434
å“ˆå“ˆå“ˆ,4.2570,3.5793,3.5191,3.7505,2.5243
å–µè¿‡æ˜Ÿç©º,4.2568,3.5700,3.5132,3.7422,2.5379
å™œå’ª,4.2543,3.5747,3.5159,3.7456,2.5314
å°ç™½èœ,4.2670,3.5754,3.5059,3.7420,2.5276
æ‡µ0.0,4.2434,3.5732,3.5129,3.7374,2.5284
æˆ‘æ˜¯æœˆäº®,4.2580,3.5750,3.5107,3.7424,2.5237
æ–¹é’æ¾,4.2588,3.5743,3.5114,3.7449,2.5339
æ¬¡ç­‰ç§˜å¯†,4.2536,3.5734,3.5123,3.7438,2.5318
æ±€,4.2566,3.5686,3.5057,3.7436,2.5353
æ±Ÿæš®,4.2672,3.5704,3.5018,3.7431,2.5303
æ±¤å…ƒï¼ˆå¼ ç†™å…ƒï¼‰,4.2616,3.5729,3.5128,3.7437,2.5318
æ´›å…‹æ›¼,4.2614,3.5762,3.5202,3.7469,2.5245
æ´›æ‰çŸ¶çš„W,4.2658,3.5801,3.5106,3.7388,2.5119
æ½‡æ½‡,4.2703,3.5771,3.5055,3.7400,2.5231
çƒ‚æ³¥,4.2583,3.5739,3.5087,3.7463,2.5381
ç…é¥¼,4.2660,3.5792,3.5113,3.7439,2.5261
çˆ±åƒèåœçˆ±åƒèœ,4.2601,3.5751,3.5046,3.7360,2.5226
ç‰¹æ©,4.2646,3.5706,3.4980,3.7413,2.5423
ç‰¹ç‰¹,4.2646,3.5747,3.5108,3.7460,2.5342
çº¨å…°,4.2533,3.5714,3.5134,3.7401,2.5305
è‹¹æœäºº,4.2634,3.5717,3.5062,3.7489,2.5403
èœ‰è£,4.2621,3.5780,3.5073,3.7461,2.5273
è¯´ç¬‘,4.2550,3.5708,3.5104,3.7432,2.5361
èµµé˜³,4.2607,3.5719,3.5074,3.7395,2.5300
ğŸ,4.2725,3.5749,3.5116,3.7494,2.5299
